"","ds","y"
"676",2019-07-16 00:45:00,0
"677",2019-07-16 01:00:00,0
"678",2019-07-16 01:15:00,0
"679",2019-07-16 01:30:00,0
"680",2019-07-16 01:45:00,0
"681",2019-07-16 02:00:00,0
"682",2019-07-16 02:15:00,0
"683",2019-07-16 02:30:00,0
"684",2019-07-16 02:45:00,0
"685",2019-07-16 03:00:00,0
"686",2019-07-16 03:15:00,0
"687",2019-07-16 03:30:00,0
"688",2019-07-16 03:45:00,0
"689",2019-07-16 04:00:00,0
"690",2019-07-16 04:15:00,0
"691",2019-07-16 04:30:00,0
"692",2019-07-16 04:45:00,0
"693",2019-07-16 05:00:00,0
"694",2019-07-16 05:15:00,0
"695",2019-07-16 05:30:00,0
"696",2019-07-16 05:45:00,0
"697",2019-07-16 06:00:00,0
"698",2019-07-16 06:15:00,0
"699",2019-07-16 06:30:00,0
"700",2019-07-16 06:45:00,0
"701",2019-07-16 07:00:00,0
"702",2019-07-16 07:15:00,0
"703",2019-07-16 07:30:00,0
"704",2019-07-16 07:45:00,0
"705",2019-07-16 08:00:00,0
"706",2019-07-16 08:15:00,0
"707",2019-07-16 08:30:00,0
"708",2019-07-16 08:45:00,0
"709",2019-07-16 09:00:00,0
"710",2019-07-16 09:15:00,0
"711",2019-07-16 09:30:00,0
"712",2019-07-16 09:45:00,0
"713",2019-07-16 10:00:00,0
"714",2019-07-16 10:15:00,0
"715",2019-07-16 10:30:00,0
"716",2019-07-16 10:45:00,0
"717",2019-07-16 11:00:00,0
"718",2019-07-16 11:15:00,0
"719",2019-07-16 11:30:00,0
"720",2019-07-16 11:45:00,0
"721",2019-07-16 12:00:00,0
"722",2019-07-16 12:15:00,0
"723",2019-07-16 12:30:00,0
"724",2019-07-16 12:45:00,9
"725",2019-07-16 13:00:00,25
"726",2019-07-16 13:15:00,240
"727",2019-07-16 13:30:00,126
"728",2019-07-16 13:45:00,0
"729",2019-07-16 14:00:00,124
"730",2019-07-16 14:15:00,281
"731",2019-07-16 14:30:00,162
"732",2019-07-16 14:45:00,610
"733",2019-07-16 15:00:00,899
"734",2019-07-16 15:15:00,77
"735",2019-07-16 15:30:00,72
"736",2019-07-16 15:45:00,9
"737",2019-07-16 16:00:00,94
"738",2019-07-16 16:15:00,0
"739",2019-07-16 16:30:00,0
"740",2019-07-16 16:45:00,0
"741",2019-07-16 17:00:00,43
"742",2019-07-16 17:15:00,0
"743",2019-07-16 17:30:00,49
"744",2019-07-16 17:45:00,313
"745",2019-07-16 18:00:00,251
"746",2019-07-16 18:15:00,18
"747",2019-07-16 18:30:00,0
"748",2019-07-16 18:45:00,0
"749",2019-07-16 19:00:00,0
"750",2019-07-16 19:15:00,19
"751",2019-07-16 19:30:00,630
"752",2019-07-16 19:45:00,53
"753",2019-07-16 20:00:00,180
"754",2019-07-16 20:15:00,9
"755",2019-07-16 20:30:00,750
"756",2019-07-16 20:45:00,262
"757",2019-07-16 21:00:00,0
"758",2019-07-16 21:15:00,0
"759",2019-07-16 21:30:00,0
"760",2019-07-16 21:45:00,0
"761",2019-07-16 22:00:00,0
"762",2019-07-16 22:15:00,0
"763",2019-07-16 22:30:00,0
"764",2019-07-16 22:45:00,0
"765",2019-07-16 23:00:00,0
"766",2019-07-16 23:15:00,0
"767",2019-07-16 23:30:00,0
"768",2019-07-16 23:45:00,0
"769",2019-07-17 00:00:00,0
"770",2019-07-17 00:15:00,0
"771",2019-07-17 00:30:00,0
"772",2019-07-17 00:45:00,0
"773",2019-07-17 01:00:00,0
